sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),class
5.2,3.4,1.4,0.2,0
6.0,2.2,4.0,1.0,1
6.8,3.2,5.9,2.3,2
6.5,3.0,5.5,1.8,2
4.7,3.2,1.6,0.2,0
5.1,3.8,1.6,0.2,0
4.7,3.2,1.3,0.2,0
6.2,2.2,4.5,1.5,1
5.7,2.9,4.2,1.3,1
6.1,2.6,5.6,1.4,2
6.0,2.7,5.1,1.6,1
4.8,3.0,1.4,0.3,0
5.6,3.0,4.1,1.3,1
6.3,3.3,6.0,2.5,2
6.7,3.1,4.7,1.5,1
6.3,2.9,5.6,1.8,2
5.0,3.4,1.5,0.2,0
5.2,4.1,1.5,0.1,0
6.1,3.0,4.9,1.8,2
6.3,3.4,5.6,2.4,2
5.0,3.6,1.4,0.2,0
6.9,3.1,5.1,2.3,2
5.8,2.7,3.9,1.2,1
7.2,3.2,6.0,1.8,2
4.8,3.0,1.4,0.1,0
4.4,3.0,1.3,0.2,0
6.7,3.1,5.6,2.4,2
5.1,3.4,1.5,0.2,0
5.0,2.3,3.3,1.0,1
5.5,2.3,4.0,1.3,1
